Status,Business Name,Industry,Location,Phone,Est. Size,Current Web Presence,Why They Need a Site,Competitors With Websites,Pitch Angle,Email
VERIFIED - No Website,New Generations Plumbing and Heating,Plumbing/Heating,"Hampden, MA",(413) 454-2770,Small family (3 generations),Facebook/Yelp/BBB only,3 generations of experience but zero web presence; invisible to Google,"Concannon Plumbing (concannonplumbing.com), DMB Plumbing (dmbplumbingandheatinginc.com)",You have 3 generations of trust - a site with reviews and booking would put you ahead,
VERIFIED - No Website,Bovill Plumbing,Plumbing,"Bridgewater, MA",(781) 424-7560,Solo operator 15+ years,Facebook/BBB only,15 years in business with no online services or pricing,"Golden Plumbing (goldenplumbingheating.com), Buresh Plumbing (bureshplumbing.com)",15 years as the trusted local plumber - a site with reviews and emergency info would help new homeowners find you,bovillplumbing@yahoo.com
VERIFIED - No Website,RDM Plumbing & Heating Inc.,Plumbing/Heating,"Berkley, MA",774-365-3801,Small family business,Facebook/Instagram only,Active social media with great work photos but no central website,"Leahy Plumbing (leahyplumbingandheatinginc.com), Hatch Plumbing (hatchplumbingservices.com)",Your Instagram shows great work - a site turns those photos into a professional portfolio,RDMPlumbing22@gmail.com
VERIFIED - No Website,Chris Frawley Electrician,Electrician,"Weymouth, MA",(617) 750-6955,Solo operator 30 years,Facebook only,30 years experience but entirely word-of-mouth,"SC Electric (conroyelectric.com), Crowe Electric (crowe-electric.com)",30 years of experience - a website with license info and testimonials lets new customers trust you,cfrawley66@gmail.com
VERIFIED - No Website,The Wood King,Firewood Delivery,"Norfolk, MA",N/A (Facebook contact),Solo/small operator,Facebook page only,Sells at $385/cord with free delivery but no online ordering,"GM Firewood (gmfirewood.com), Boston Firewood (bostonfirewood.com)",Your competitors let customers order online - a site with pricing and order form could double your reach,
VERIFIED - No Website,Workhorse Construction LLC,Construction/Roofing,"Warren, MA",(413) 222-7264,Small family company,Facebook/Yelp/BBB only,"Does interiors, exteriors, roofing, decks, additions - zero portfolio online","Nextgen Roofing (nextgen413.net), Care Free Homes (carefreehomes.com)",You do everything from roofing to basements - a portfolio site would show homeowners what you can do,kcseymour19@yahoo.com
VERIFIED - No Website,Monster Hauling,Junk Removal,"Gardner, MA",(508) 641-6500,Small operator,Facebook/Instagram only,Offers junk removal/moving/hauling but invisible to Google,"Grunts Move Junk (gruntsmass.com), Lug Away (lugawayjunkremoval.com)",People search junk removal Gardner MA every day and find your competitors instead,monsterhaulingsystems@gmail.com
VERIFIED - No Website,Gagnon's Pet Grooming,Pet Grooming,"Fall River, MA",(508) 674-2349,"Family business, est. 1973, 53 years same location",Facebook/Yelp/directories only,50+ years in business with strong reviews but no website,Pick of the Litter (pickofthelitterquincy.com),53 years of brand equity deserves a website with services/pricing/online booking,
VERIFIED - No Website,Little Rosie HomeMade Bakery,Bakery,"Holyoke, MA",N/A (Facebook contact),Home-based micro business,Facebook page only,Growing social following but no professional online presence,"N.E. Donuts (nedonuts.com), Perry's Bakery (perrysbakery.com)",A beautiful site with your menu and ordering info would match the quality of your baking,
VERIFIED - No Website,Ana's House Cleaning Services,Cleaning,"Seekonk, MA",(774) 386-2416,Solo/small,Facebook/Yelp only,Residential cleaning in MA/RI with no way to get quotes online,Denise's House Cleaning (deniseshousecleaning.com),A clean simple website with a quote request form would bring in more clients,1ana.cleaning.services1@gmail.com
VERIFIED - No Website,S & J Towing,Towing,"Boston, MA",(857) 237-5862,Small family business,Facebook page only,24/7 towing service invisible to Google searches,"CJ Auto & Tow (cjautotow.com), D&G Towing (dgtowingservices.com)",When someone is stranded at 2am they Google towing near me - a site with your number and Call Now button changes everything,mccolganjess06@yahoo.com
VERIFIED - No Website,H&R Towing LLC,Towing,"Haverhill, MA",(978) 476-0999,Small family business,Facebook page only,Family 24/7 towing serving Merrimack Valley with no web presence,Adams Towing (adamstowingservice.com),A site with your service area map and click-to-call would make you the first result for towing Haverhill,hrtowingsrvc@gmail.com
VERIFIED - No Website,Sunrise Gardens Farm Stand,Farm Stand,"Plympton, MA",(781) 585-6035,"Family business, 40+ years",Facebook/directories only,"40+ year farm stand with seasonal products (produce, mulch, firewood, Christmas trees) - all trapped on Facebook",Gerry's Farm (gerrysfarm.com),With seasonal products changing all year a website with current inventory and hours would bring more visitors,info@sunrise-gardens.com
VERIFIED - No Website,Rob's Lawn Care,Lawn Care,"Middleboro, MA",(508) 923-9088,Solo/small,Facebook page only,"Offers mowing, leaf removal, flea/tick control - communicated only via Facebook",All Seasons Lawn Care (has website),Homeowners searching lawn care in Middleboro find your competitors first,Talkto@comcast.net
VERIFIED - No Website,J&J Lawn Care,Lawn Care,"Worcester, MA",(508) 714-1000,Small family business,Facebook/BBB only,Full service lawn care serving all Worcester County with no website,"A&J Property Care (ajpropertycare.com), JMH Lawn Care (jmhlawncare.com)",You serve all of Worcester County - a website targeting each town would bring steady new business,508Lawns@gmail.com
VERIFIED - No Website,Affordable Handyman,Handyman,"Bergen County, NJ",646-478-6080,Solo operator,Facebook page only,Invisible to Google searches for handyman services,"Andy OnCall (handymanofbergencounty.com), Cassel Home (casselhomemaintenance.com)",When people search affordable handyman Bergen County you should be the first result,
VERIFIED - No Website,Frank The Handyman LLC,Handyman,"Hasbrouck Heights, NJ",(201) 393-8996,"Small business, since 2014","Facebook, Instagram, Linktree only","10+ years serving Bergen County with carpentry, painting, renovations - uses Linktree instead of real site","Griffith Construction (griffithhandymannj.com), North Valley (northvalleynj.com)",Upgrading from Linktree to a real website with your portfolio would look much more professional,frankthehandymanllc@gmail.com
VERIFIED - No Website,Odd Job Bob NJ,Handyman,"Bergen County, NJ",(201) 739-6696,Solo operator,Facebook page only,Specializes in small/odd jobs - highly searchable niche but not findable,"North Valley Handyman (northvalleynj.com), Griffith (griffithhandymannj.com)",Small jobs are what homeowners Google most - a fun branded website matching your personality would generate leads,oddjobbobnj@gmail.com
VERIFIED - No Website,Yankee Kuts Barber Shop,Barber,"Passaic, NJ (561 Main Ave)",(973) 614-8843,Small shop,Facebook/Booksy only,Highly rated (4.7/5) but no website - relies on Booksy for booking,Off The Top (offthetopshop.com),4.7 stars is amazing - a website showcasing that with a gallery and integrated booking would bring more clients,
VERIFIED - No Website,Main St Barbershop,Barber,"Bergenfield, NJ (70 W. Main St)",(201) 387-6300,Small shop,Facebook/Instagram only,All hair types and styles but no way to book or see work online,Off The Top (offthetopshop.com),A website with barber specialties and online booking would modernize your appointments preferred system,
VERIFIED - No Website,Latinas Beauty Salon,Beauty Salon,"Passaic, NJ (162 Passaic St)",(973) 246-7623,"Small salon, open 7 days","Facebook, Instagram, Booksy only",Full service salon open 7 days with no website,La Fama Salon Spa (lafamasalonspa.com),A bilingual website with service menu and before/after gallery would reach English and Spanish-speaking clients,latinasartists@gmail.com
VERIFIED - No Website,Jackie's Hair Design,Hair Salon,"Passaic, NJ (110 Columbia St)",(973) 777-9373,"Solo/small, 4.7 stars",Facebook/Instagram only,Great ratings but completely invisible to web search,La Fama Salon Spa (lafamasalonspa.com),Your 4.7-star rating is your biggest asset - a website that showcases it would bring in searching clients,
VERIFIED - No Website,Oasis Diner,Restaurant/Diner,"Passaic, NJ (683 Main Ave)",(973) 773-7474,"Family-owned, 34+ years","Facebook, Instagram, Yelp only",Beloved 34-year diner famous for sweet potato pie but no website,Dona Maria Restaurant (donamariarestaurant.com),34 years of community love deserves a website with menu and daily specials,
VERIFIED - No Website,DeMauro Towing,Towing,"Bergenfield, NJ (35 W Church St)",(201) 385-6777,"Family business, est. 1976",Facebook/directories only,40+ years 24-hour service but no website,Technology Towing (technologytowing.com),40 years of towing experience - a professional website would capture emergency calls,demaurotowing@aol.com | demaurotowing@gmail.com
VERIFIED - No Website,R. Lopez Towing,Towing,"Passaic, NJ (76 Dayton Ave)",(973) 945-1101,Small business,Facebook/directories only,"Local/long distance towing, flatbed, junk car removal - none searchable",Technology Towing (technologytowing.com),A website listing all your services with pricing and prominent phone number would make you findable,
OUTDATED Website,High Mountain Landscaping Inc.,Landscaping,"North Haledon, NJ",(973) 390-6776,"Family business, 30+ years",highmountaininc.weebly.com (free Weebly),Free Weebly looks unprofessional - no portfolio or modern design,"Borst Landscape (borstlandscape.com), Monello (monellolandscape.com)",30+ years of work deserves better than a free Weebly page - professional site would match reputation,
OUTDATED Website,Anna's House Cleaning Services 413,Cleaning,"Chicopee, MA",(413) 846-3702,Small family business,annascleaning.blogspot.in (Blogspot),Blogspot blog as website - extremely outdated and unprofessional,Denise's House Cleaning (deniseshousecleaning.com),A real website instead of Blogspot would immediately look more trustworthy,
OUTDATED Website,Lisa's Cleaning Services,Cleaning,"Greenfield, MA",(413) 325-8188,Small business,heathlisa50.wixsite.com/lisashousekeeping (free Wix),Free Wix site with generic URL - amateur look and hard to remember,Denise's House Cleaning (deniseshousecleaning.com),A custom domain like LisasCleaning.com is much more memorable than your current Wix URL,heathlisa50@gmail.com
NEEDS VERIFICATION,Steve's Firewood,Firewood,"Boston, MA",N/A,Unknown,Yelp listing only,Appears to have no website - just Yelp,,Verify no website exists,
NEEDS VERIFICATION,Moniz Electric Inc.,Electrician,"Somerville, MA",N/A,Small business,Facebook page,Likely no website based on profile,,Verify no website exists,matt@monizelectric.com
NEEDS VERIFICATION,Pat Ryan Electric,Electrician,MA,N/A,Small family business,Facebook page,Likely no website based on profile,,Verify no website exists,info@patryanelectric.com
NEEDS VERIFICATION,BEST Electricians INC,Electrician,"Pocasset, MA",N/A,Small business,Facebook page,Likely no website based on profile,,Verify no website exists,info@fittsbest.com
NEEDS VERIFICATION,Triple A Clean Out & Junk Removal,Junk Removal,"Malden, MA",N/A,Small business,Facebook page,Locally owned and operated,,Verify no website exists,
NEEDS VERIFICATION,Anthony's Junk Removal,Junk Removal,"Easton, MA",N/A,Small business,Facebook page,Serving South Shore MA,,Verify no website exists,anthonysjunkremovals@gmail.com
NEEDS VERIFICATION,Mighty Movers,Moving,"Marlborough, MA",(978) 793-6165,Small business,Facebook page,"Moving, junk removal, storage, snow removal",,Verify no website exists,Pdyer00@gmail.com
NEEDS VERIFICATION,Good Guys Moving & Junk,Moving/Junk Removal,"Foxborough, MA",N/A,Small business,Facebook page,Professional moving and junk removal,,Verify no website exists,contact@goodguysmovingjunk.com
NEEDS VERIFICATION,CDA Roofing Contractors LLC,Roofing,"Agawam, MA",N/A,Small business,Facebook page,Roofing contractor,,Verify no website exists,info@cdaroofing.net
NEEDS VERIFICATION,DAC Construction LLC,Construction,MA,N/A,"Family owned, 25+ years",Facebook page,Roofing and construction,,Verify no website exists,
NEEDS VERIFICATION,Falmouth Heights Lawn Service,Lawn Care,"Falmouth, MA",N/A,Small business,Facebook page,Mowing and seasonal clean up,,Verify no website exists,
NEEDS VERIFICATION,Reilly's Lawn Service,Lawn Care,"Fitchburg, MA",N/A,Small business,Facebook page,"Spring/fall cleanups, mowing, aerating, snow plowing",,Verify no website exists,
NEEDS VERIFICATION,BC Lawn Care LLC,Lawn Care,"Plymouth, MA",N/A,Small business,Facebook page,Fully licensed and insured lawn care,,Verify no website exists,
NEEDS VERIFICATION,Sean's Mobile Pet Grooming,Pet Grooming,MA,N/A,Small/mobile,Facebook page,Professional mobile dog grooming,,Verify no website exists,seanmobilepet@gmail.com
NEEDS VERIFICATION,Auntie Manda's Mobile Grooming,Pet Grooming,MA,N/A,Small/mobile,Facebook page,Mobile grooming for dogs and cats,,Verify no website exists,auntiemandasmobilegrooming@gmail.com
NEEDS VERIFICATION,Shawna the Groomer,Pet Grooming,"Webster, MA",N/A,Small/mobile,Facebook page,"Luxury mobile grooming serving MA, RI, CT",,Verify no website exists,shawnathegroomer@gmail.com
